trade_id,analysis_id,symbol,platform,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,position_size,ticket,status,exit_reason,pnl,pnl_percent,realized_rr,duration_minutes,commission,slippage,max_favorable_excursion,max_adverse_excursion,original_stop_loss
trade_20260224_074931_679243,analysis_20260224_074930_932368,XAU/USD,mt5,long,2026-02-24 07:49:31.679243,2026-02-24 07:54:27.019256,5177.35,5179.544,5179.5886571,5189.10560714286,5199.40321428571,,0.31,2415046145,closed,stop_loss,68.01,0.0643,0.9799,4.8,0.0,0.045,3.79299999999967,0.501000000000204,
trade_20260224_075444_383554,analysis_20260224_075443_518482,XAU/USD,mt5,long,2026-02-24 07:54:44.383554,2026-02-24 08:04:33.724754,5180.773,5173.362,5173.36214285714,5190.48678571429,5200.76157142857,,0.31,2415066005,closed,stop_loss,-229.74,-0.2177,-1.0,9.7,0.0,0.0,1.40799999999945,7.05299999999988,
trade_20260224_080506_288480,analysis_20260224_080505_346023,XAU/USD,mt5,long,2026-02-24 08:05:06.288480,2026-02-24 08:07:07.250574,5171.941,5172.124,5172.1948759,5182.84257142857,5192.84414285714,,0.32,2415123050,closed,stop_loss,5.86,0.0056,0.7205,2,0.0,0.071,3.38100000000031,0.0,
trade_20260224_081019_835221,analysis_20260224_081019_209512,XAU/USD,mt5,long,2026-02-24 08:10:19.835221,2026-02-24 08:18:01.584956,5175.361,5168.557,5168.5565,5185.36775,5195.4545,,0.31,2415151286,closed,stop_loss,-210.92,-0.2002,-1.0,7.6,0.0,0.0,0.0,6.51800000000003,
trade_20260224_082041_634660,analysis_20260224_082040_875034,XAU/USD,mt5,long,2026-02-24 08:20:41.634660,2026-02-24 08:22:04.190731,5166.14,5166.119,5166.1666849,5178.69632142857,5188.83064285714,,0.31,2415208607,closed,stop_loss,-0.65,-0.0006,-0.7778,1.3,0.0,0.048,1.57699999999932,0.317000000000007,
trade_20260224_082554_557931,analysis_20260224_082553_734720,XAU/USD,mt5,long,2026-02-24 08:25:54.557931,2026-02-24 08:29:09.019306,5171.711,5172.735,5172.7347139,5183.67860714286,5193.82321428571,,0.31,2415239540,closed,stop_loss,31.75,0.0301,1.0,3.2,0.0,0.0,2.57600000000002,0.0,
trade_20260224_083107_849355,analysis_20260224_083106_893090,XAU/USD,mt5,long,2026-02-24 08:31:07.849355,2026-02-24 08:35:34.654630,5173.415,5179.12,5179.1197978,5181.70403571429,5191.38407142857,,0.33,2415263448,closed,stop_loss,188.26,0.1784,1.0,4.4,0.0,0.0,7.49799999999959,0.0,
trade_20260224_083620_923310,analysis_20260224_083620_187663,XAU/USD,mt5,long,2026-02-24 08:36:20.923310,2026-02-24 08:45:19.596506,5180.162,5172.922,5172.922,5189.0845,5198.782,,0.33,2415290757,closed,stop_loss,-238.92,-0.2269,-1.0,8.9,0.0,0.0,1.19499999999971,5.63400000000001,
trade_20260224_084642_527469,analysis_20260224_084641_713910,XAU/USD,mt5,long,2026-02-24 08:46:42.527469,2026-02-24 08:49:53.993469,5171.62,5173.157,5173.1565873,5181.37578571429,5190.83457142857,,0.33,2415342730,closed,stop_loss,50.72,0.0481,1.0,3,0.0,0.0,3.34000000000015,0.0,
trade_20260224_085155_176055,analysis_20260224_085154_464198,XAU/USD,mt5,long,2026-02-24 08:51:55.176055,2026-02-24 08:59:11.973517,5172.165,5174.653,5174.6531382,5182.96125,5192.1645,,0.34,2415365908,closed,stop_loss,84.59,0.0802,1.0,7.2,0.0,0.0,4.68599999999969,1.38299999999981,
